886,2,3,19,0,0,17,4,7,0,7,0
0,966,1,9,2,0,2,1,3,0,1,0
2,6,558,7,1,1,20,2,1,4,0,5
1,0,2,853,9,0,2,18,2,2,2,0
0,5,0,9,5262,0,4,2,0,38,4,1
3,5,7,0,2,571,9,1,14,0,2,15
21,2,12,16,2,3,645,16,32,0,9,11
6,5,1,76,7,0,11,910,22,2,4,6
1,2,0,7,11,16,20,24,711,2,28,43
1,17,9,19,45,1,5,5,8,1851,16,0
4,3,0,2,8,1,0,0,15,1,660,3
1,2,7,2,2,5,29,5,90,0,12,620
